Date,FFR
1888-01-30,10746.71
1888-01-31,10747.84
1888-02-01,10748.97
1888-02-02,10750.1
1888-02-03,10751.23
1888-02-06,10752.36
1888-02-07,10753.49
1888-02-08,10754.62
1888-02-09,10755.75
1888-02-10,10756.88
1888-02-13,10758.01
1888-02-14,10759.13
1888-02-15,10760.26
1888-02-16,10761.39
1888-02-17,10762.51
1888-02-20,10763.64
1888-02-21,10764.77
1888-02-23,10765.89
1888-02-24,10767.02
1888-02-27,10768.14
1888-02-28,10769.27
1888-02-29,10770.39
1888-03-01,10771.51
1888-03-02,10772.64
1888-03-05,10773.76
1888-03-06,10774.89
1888-03-07,10776.01
1888-03-08,10777.13
1888-03-09,10778.26
1888-03-14,10779.38
1888-03-15,10780.5
1888-03-16,10781.63
1888-03-19,10782.75
1888-03-20,10783.87
1888-03-21,10784.99
1888-03-22,10786.12
1888-03-23,10787.24
1888-03-26,10788.36
1888-03-27,10789.48
1888-03-28,10790.61
1888-03-29,10791.73
1888-04-02,10792.85
1888-04-03,10793.97
1888-04-04,10795.09
1888-04-05,10796.21
1888-04-06,10797.34
1888-04-09,10798.46
1888-04-10,10799.58
1888-04-11,10800.7
1888-04-12,10801.82
1888-04-13,10802.94
1888-04-16,10804.05
1888-04-17,10805.17
1888-04-18,10806.29
1888-04-19,10807.41
1888-04-20,10808.53
1888-04-23,10809.65
1888-04-24,10810.76
1888-04-25,10811.88
1888-04-26,10813
1888-04-27,10814.11
1888-04-30,10815.23
1888-05-01,10816.35
1888-05-02,10817.46
1888-05-03,10818.58
1888-05-04,10819.69
1888-05-07,10820.81
1888-05-08,10821.92
1888-05-09,10823.04
1888-05-10,10824.15
1888-05-11,10825.26
1888-05-14,10826.38
1888-05-15,10827.49
1888-05-16,10828.6
1888-05-17,10829.72
1888-05-18,10830.83
1888-05-21,10831.94
1888-05-22,10833.05
1888-05-23,10834.16
1888-05-24,10835.28
1888-05-25,10836.39
1888-05-28,10837.5
1888-05-29,10838.61
1888-05-31,10839.72
1888-06-01,10840.83
1888-06-04,10841.94
1888-06-05,10843.05
1888-06-06,10844.15
1888-06-07,10845.26
1888-06-08,10846.37
1888-06-11,10847.48
1888-06-12,10848.59
1888-06-13,10849.69
1888-06-14,10850.8
1888-06-15,10851.91
1888-06-18,10853.01
1888-06-19,10854.12
1888-06-20,10855.23
1888-06-21,10856.33
1888-06-22,10857.44
1888-06-25,10858.54
1888-06-26,10859.65
1888-06-27,10860.75
1888-06-28,10861.85
1888-06-29,10862.96
1888-07-02,10864.06
1888-07-03,10865.16
1888-07-05,10866.27
1888-07-06,10867.37
1888-07-09,10868.47
1888-07-10,10869.57
1888-07-11,10870.67
1888-07-12,10871.78
1888-07-13,10872.88
1888-07-16,10873.98
1888-07-17,10875.08
1888-07-18,10876.18
1888-07-19,10877.28
1888-07-20,10878.38
1888-07-23,10879.48
1888-07-24,10880.57
1888-07-25,10881.67
1888-07-26,10882.77
1888-07-27,10883.87
1888-07-30,10884.97
1888-07-31,10886.06
1888-08-01,10887.16
1888-08-02,10888.26
1888-08-03,10889.36
1888-08-06,10890.45
1888-08-07,10891.55
1888-08-08,10892.64
1888-08-09,10893.74
1888-08-10,10894.84
1888-08-13,10895.93
1888-08-14,10897.02
1888-08-15,10898.12
1888-08-16,10899.21
1888-08-17,10900.31
1888-08-20,10901.4
1888-08-21,10902.49
1888-08-22,10903.59
1888-08-23,10904.68
1888-08-24,10905.77
1888-08-27,10906.86
1888-08-28,10907.96
1888-08-29,10909.05
1888-08-30,10910.14
1888-08-31,10911.23
1888-09-04,10912.32
1888-09-05,10913.41
1888-09-06,10914.5
1888-09-07,10915.59
1888-09-10,10916.68
1888-09-11,10917.77
1888-09-12,10918.86
1888-09-13,10919.95
1888-09-14,10921.04
1888-09-17,10922.13
1888-09-18,10923.22
1888-09-19,10924.31
1888-09-20,10925.4
1888-09-21,10926.49
1888-09-24,10927.58
1888-09-25,10928.67
1888-09-26,10929.76
1888-09-27,10930.85
1888-09-28,10931.94
1888-10-01,10933.03
1888-10-02,10934.12
1888-10-03,10935.21
1888-10-04,10936.29
1888-10-05,10937.38
1888-10-08,10938.47
1888-10-09,10939.56
1888-10-10,10940.64
1888-10-11,10941.73
1888-10-12,10942.82
1888-10-15,10943.9
1888-10-16,10944.99
1888-10-17,10946.07
1888-10-18,10947.16
1888-10-19,10948.25
1888-10-22,10949.33
1888-10-23,10950.41
1888-10-24,10951.5
1888-10-25,10952.58
1888-10-26,10953.67
1888-10-29,10954.75
1888-10-30,10955.83
1888-10-31,10956.92
1888-11-01,10958
1888-11-02,10959.08
1888-11-05,10960.16
1888-11-07,10961.24
1888-11-08,10962.33
1888-11-09,10963.41
1888-11-12,10964.49
1888-11-13,10965.57
1888-11-14,10966.65
1888-11-15,10967.73
1888-11-16,10968.8
1888-11-19,10969.88
1888-11-20,10970.96
1888-11-21,10972.04
1888-11-22,10973.12
1888-11-23,10974.2
1888-11-26,10975.27
1888-11-27,10976.35
1888-11-28,10977.43
1888-12-03,10978.5
1888-12-04,10979.58
1888-12-05,10980.65
1888-12-06,10981.73
1888-12-07,10982.8
1888-12-10,10983.88
1888-12-11,10984.95
1888-12-12,10986.02
1888-12-13,10987.1
1888-12-14,10988.17
1888-12-17,10989.24
1888-12-18,10990.31
1888-12-19,10991.39
1888-12-20,10992.46
1888-12-21,10993.53
1888-12-24,10994.6
1888-12-26,10995.67
1888-12-27,10996.74
1888-12-28,10997.81
1888-12-31,10998.88
1889-01-02,10999.95
1889-01-03,11001.02
1889-01-04,11002.09
1889-01-07,11003.16
1889-01-08,11004.23
1889-01-09,11005.3
1889-01-10,11006.37
1889-01-11,11007.44
1889-01-14,11008.51
1889-01-15,11009.58
1889-01-16,11010.65
1889-01-17,11011.72
1889-01-18,11012.79
1889-01-21,11013.86
1889-01-22,11014.93
1889-01-23,11016
1889-01-24,11017.08
1889-01-25,11018.15
1889-01-28,11019.22
1889-01-29,11020.29
1889-01-30,11021.36
1889-01-31,11022.43
1889-02-01,11023.5
1889-02-04,11024.58
1889-02-05,11025.65
1889-02-06,11026.72
1889-02-07,11027.79
1889-02-08,11028.86
1889-02-11,11029.94
1889-02-12,11031.01
1889-02-13,11032.08
1889-02-14,11033.15
1889-02-15,11034.23
1889-02-18,11035.3
1889-02-19,11036.37
1889-02-20,11037.44
1889-02-21,11038.52
1889-02-25,11039.59
1889-02-26,11040.66
1889-02-27,11041.74
1889-02-28,11042.81
1889-03-01,11043.88
1889-03-04,11044.96
1889-03-05,11046.03
1889-03-06,11047.1
1889-03-07,11048.18
1889-03-08,11049.25
1889-03-11,11050.32
1889-03-12,11051.4
1889-03-13,11052.47
1889-03-14,11053.54
1889-03-15,11054.61
1889-03-18,11055.69
1889-03-19,11056.76
1889-03-20,11057.83
1889-03-21,11058.9
1889-03-22,11059.98
1889-03-25,11061.05
1889-03-26,11062.12
1889-03-27,11063.19
1889-03-28,11064.26
1889-03-29,11065.33
1889-04-01,11066.41
1889-04-02,11067.48
1889-04-03,11068.55
1889-04-04,11069.62
1889-04-05,11070.69
1889-04-08,11071.76
1889-04-09,11072.84
1889-04-10,11073.91
1889-04-11,11074.98
1889-04-12,11076.05
1889-04-15,11077.13
1889-04-16,11078.2
1889-04-17,11079.27
1889-04-18,11080.34
1889-04-22,11081.42
1889-04-23,11082.49
1889-04-24,11083.56
1889-04-25,11084.64
1889-04-26,11085.71
1889-05-02,11086.78
1889-05-03,11087.86
1889-05-06,11088.93
1889-05-07,11090
1889-05-08,11091.08
1889-05-09,11092.15
1889-05-10,11093.22
1889-05-13,11094.3
1889-05-14,11095.37
1889-05-15,11096.45
1889-05-16,11097.52
1889-05-17,11098.6
1889-05-20,11099.67
1889-05-21,11100.75
1889-05-22,11101.82
1889-05-23,11102.9
1889-05-24,11103.97
1889-05-27,11105.05
1889-05-28,11106.12
1889-05-29,11107.2
1889-05-31,11108.27
1889-06-03,11109.35
1889-06-04,11110.42
1889-06-05,11111.5
1889-06-06,11112.57
1889-06-07,11113.65
1889-06-10,11114.73
1889-06-11,11115.8
1889-06-12,11116.88
1889-06-13,11117.96
1889-06-14,11119.03
1889-06-17,11120.11
1889-06-18,11121.19
