Date,UPRO
2012-11-01,30522.39
2012-11-02,29657.76
2012-11-05,29876.52
2012-11-06,30536.28
2012-11-07,28497.63
2012-11-08,27428.48
2012-11-09,27484.04
2012-11-12,27588.21
2012-11-13,27334.72
2012-11-14,26220.08
2012-11-15,26067.3
2012-11-16,26442.32
2012-11-19,28008.37
2012-11-20,28136.85
2012-11-21,28286.16
2012-11-23,29395.25
2012-11-26,29223.71
2012-11-27,28813.97
2012-11-28,29452.89
2012-11-29,29904.3
2012-11-30,29810.55
2012-12-03,29421.64
2012-12-04,29275.8
2012-12-05,29432.05
2012-12-06,29757.07
2012-12-07,30018.89
2012-12-10,30105.7
2012-12-11,30689.06
2012-12-12,30758.51
2012-12-13,30223.76
2012-12-14,29814.02
2012-12-17,30866.15
2012-12-18,31946.07
2012-12-19,31275.9
2012-12-20,31748.14
2012-12-21,30918.24
2012-12-24,30508.5
2012-12-26,30170.6
2012-12-27,30097.67
2012-12-28,29059.22
2012-12-31,30649.88
2013-01-02,32928.22
2013-01-03,32660.79
2013-01-04,33150.5
2013-01-07,32907.38
2013-01-08,32546.18
2013-01-09,32837.92
2013-01-10,33549.9
2013-01-11,33622.84
2013-01-14,33473.49
2013-01-15,33549.9
2013-01-16,33546.43
2013-01-17,34161.16
2013-01-18,34459.85
2013-01-22,34946.08
2013-01-23,35105.84
2013-01-24,35161.41
2013-01-25,35758.78
2013-01-28,35626.8
2013-01-29,36043.57
2013-01-30,35658.06
2013-01-31,35366.32
2013-02-01,36446.45
2013-02-04,35230.87
2013-02-05,36290.16
2013-02-06,36363.09
2013-02-07,36255.43
2013-02-08,36831.96
2013-02-11,36779.86
2013-02-12,36960.46
2013-02-13,37088.97
2013-02-14,37203.58
2013-02-15,37085.49
2013-02-19,37821.78
2013-02-20,36422.13
2013-02-21,35786.56
2013-02-22,36831.96
2013-02-25,34751.59
2013-02-26,35460.09
2013-02-27,36772.92
2013-02-28,36625.66
2013-03-01,36970.88
2013-03-04,37457.11
2013-03-05,38499.03
2013-03-06,38697
2013-03-07,38912.33
2013-03-08,39402.03
2013-03-11,39818.8
2013-03-12,39537.48
2013-03-13,39693.77
2013-03-14,40343.24
2013-03-15,40186.95
2013-03-18,39492.33
2013-03-19,39235.33
2013-03-20,40046.19
2013-03-21,39028.45
2013-03-22,39931.56
2013-03-25,39535.58
2013-03-26,40449.12
2013-03-27,40397.01
2013-03-28,40667.95
2013-04-01,40280.3
2013-04-02,40845.1
2013-04-03,39594.63
2013-04-04,40129.55
2013-04-05,39556.42
2013-04-08,40292.81
2013-04-09,40817.31
2013-04-10,42342.19
2013-04-11,42745.11
2013-04-12,42401.23
2013-04-15,39514.74
2013-04-16,41154.24
2013-04-17,39372.33
2013-04-18,38646.36
2013-04-19,39639.79
2013-04-22,40219.87
2013-04-23,41428.65
2013-04-24,41508.54
2013-04-25,42026.09
2013-04-26,41758.63
2013-04-29,42602.7
2013-04-30,42884.05
2013-05-01,41741.27
2013-05-02,42932.68
2013-05-03,44228.31
2013-05-06,44589.55
2013-05-07,45242.57
2013-05-08,45874.75
2013-05-09,45513.51
2013-05-10,45944.22
2013-05-13,46020.64
2013-05-14,47472.57
2013-05-15,48202.01
2013-05-16,47517.73
2013-05-17,48938.4
2013-05-20,48924.5
2013-05-21,49119.02
2013-05-22,47983.18
2013-05-23,47601.09
2013-05-24,47430.89
2013-05-28,48313.16
2013-05-29,47680.98
2013-05-30,47899.47
2013-05-31,45801.81
2013-06-03,46538.19
2013-06-04,45923.38
2013-06-05,43870.53
2013-06-06,45117.53
2013-06-07,46854.29
2013-06-10,46857.76
